header 1: FORM   header filesize(d): 130285396   header 2: IFRS

chunk name: RIdx  chunk length(d): 11272   chunk number of resources(d): 939

index name: Exec  index number(d): 0   starts at(h): 00002C1C

index name: Pict  index number(d): 1   starts at(h): 007630B8

index name: Pict  index number(d): 3   starts at(h): 0079FC54

index name: Pict  index number(d): 4   starts at(h): 007C5E98

index name: Pict  index number(d): 5   starts at(h): 007C60A6

index name: Pict  index number(d): 6   starts at(h): 007C62D8

index name: Pict  index number(d): 7   starts at(h): 007C6556

index name: Pict  index number(d): 8   starts at(h): 007C678C

index name: Pict  index number(d): 9   starts at(h): 007C6A2A

index name: Pict  index number(d): 10   starts at(h): 007C6D0C

index name: Pict  index number(d): 11   starts at(h): 007C6FE0

index name: Pict  index number(d): 12   starts at(h): 007C7312

index name: Pict  index number(d): 13   starts at(h): 007C7688

index name: Pict  index number(d): 14   starts at(h): 007C79AA

index name: Pict  index number(d): 15   starts at(h): 007C7C30

index name: Pict  index number(d): 16   starts at(h): 007C7E9C

index name: Pict  index number(d): 17   starts at(h): 007C816E

index name: Pict  index number(d): 18   starts at(h): 007C8484

index name: Pict  index number(d): 19   starts at(h): 007C8748

index name: Pict  index number(d): 20   starts at(h): 007C89AA

index name: Pict  index number(d): 21   starts at(h): 007CC2F2

index name: Pict  index number(d): 22   starts at(h): 007CEE94

index name: Pict  index number(d): 23   starts at(h): 007D2F50

index name: Pict  index number(d): 24   starts at(h): 007D5BEE

index name: Pict  index number(d): 25   starts at(h): 007D726C

index name: Pict  index number(d): 26   starts at(h): 007DABCE

index name: Pict  index number(d): 27   starts at(h): 007DCA68

index name: Pict  index number(d): 28   starts at(h): 007DDADE

index name: Pict  index number(d): 29   starts at(h): 007DF606

index name: Pict  index number(d): 30   starts at(h): 007E2082

index name: Pict  index number(d): 31   starts at(h): 007E60D0

index name: Pict  index number(d): 32   starts at(h): 007E8CF2

index name: Pict  index number(d): 33   starts at(h): 007EA49E

index name: Pict  index number(d): 34   starts at(h): 007ECFD0

index name: Pict  index number(d): 35   starts at(h): 007F095C

index name: Pict  index number(d): 36   starts at(h): 007F0B0E

index name: Pict  index number(d): 37   starts at(h): 007F0C88

index name: Pict  index number(d): 38   starts at(h): 007F0E4A

index name: Pict  index number(d): 39   starts at(h): 007F101E

index name: Pict  index number(d): 40   starts at(h): 007F11BC

index name: Pict  index number(d): 41   starts at(h): 007F13A2

index name: Pict  index number(d): 42   starts at(h): 007F1598

index name: Pict  index number(d): 43   starts at(h): 007F1756

index name: Pict  index number(d): 44   starts at(h): 007F194C

index name: Pict  index number(d): 45   starts at(h): 007F1B22

index name: Pict  index number(d): 46   starts at(h): 007F1CEA

index name: Pict  index number(d): 47   starts at(h): 007F1EC4

index name: Pict  index number(d): 48   starts at(h): 007F2064

index name: Pict  index number(d): 49   starts at(h): 007F223C

index name: Pict  index number(d): 50   starts at(h): 007F23F0

index name: Pict  index number(d): 51   starts at(h): 007F88AC

